Rodzaj_obiektu,Miesiac,Turyści_Ogółem,Turyści_Zagraniczni,Rok,Turyści_Krajowi
"Domy wycieczkowe 
Excursion hostels",VIII,11434.0,400.0,2019,11034.0
"Schroniska 
Shelters",VIII,27552.0,928.0,2019,26624.0
"Schroniska młodzieżowe 
Youth shelters",VIII,8111.0,1380.0,2019,6731.0
"Szkolne schroniska młodzieżowe
School youth shelters",VIII,38192.0,0.0,2019,38192.0
"Ośrodki wczasowe 
Holiday centres",VIII,383386.0,15194.0,2019,368192.0
"Ośrodki kolonijne 
Holiday youth centres",VIII,28841.0,149.0,2019,28692.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",VIII,151769.0,3874.0,2019,147895.0
"Domy pracy twórczej 
Creative arts centres",VIII,5311.0,313.0,2019,4998.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",VIII,108664.0,0.0,2019,108664.0
"Kempingi 
Camping sites",VIII,108552.0,34119.0,2019,74433.0
"Pola biwakowe  
Tent camp sites",VIII,39214.0,0.0,2019,39214.0
"Hostele 
Hostels",VIII,82527.0,28621.0,2019,53906.0
"Zakłady uzdrowiskowe 
Health establishments",VIII,90529.0,6455.0,2019,84074.0
"Pokoje gościnne 
Rooms for guests",VIII,198456.0,15850.0,2019,182606.0
"Kwatery agroturystyczne 
Agrotourism lodgings",VIII,30221.0,1792.0,2019,28429.0
"Pozostałe niesklasyfikowane 
Other not classified",VIII,132236.0,14515.0,2019,117721.0
O G Ó Ł E M                       2018           ,IX,3267168.0,688886.0,2019,2578282.0
T O T A L                            2019            ,IX,3347843.0,723657.0,2019,2624186.0
"Obiekty hotelowe 
Hotels and similar establishments",IX,2591759.0,644014.0,2019,1947745.0
"Hotele 
Hotels",IX,2243724.0,590122.0,2019,1653602.0
"Motele  
Motels",IX,19163.0,0.0,2019,19163.0
"Pensjonaty 
Boarding house",IX,61787.0,0.0,2019,61787.0
"Inne obiekty hotelowe 
Other hotel establishments",IX,267085.0,44601.0,2019,222484.0
"Pozostałe obiekty noclegowe
Other establishments ",IX,756084.0,0.0,2019,756084.0
"Domy wycieczkowe 
Excursion hostels",IX,7109.0,490.0,2019,6619.0
"Schroniska 
Shelters",IX,20940.0,499.0,2019,20441.0
"Schroniska młodzieżowe 
Youth shelters",IX,6751.0,1499.0,2019,5252.0
"Szkolne schroniska młodzieżowe
School youth shelters",IX,25341.0,0.0,2019,25341.0
"Ośrodki wczasowe 
Holiday centres",IX,177468.0,10555.0,2019,166913.0
"Ośrodki kolonijne 
Holiday youth centres",IX,9243.0,22.0,2019,9221.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",IX,110983.0,3578.0,2019,107405.0
"Domy pracy twórczej 
Creative arts centres",IX,4518.0,212.0,2019,4306.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",IX,31462.0,0.0,2019,31462.0
"Kempingi 
Camping sites",IX,17944.0,8698.0,2019,9246.0
"Pola biwakowe  
Tent camp sites",IX,4646.0,0.0,2019,4646.0
"Hostele 
Hostels",IX,72957.0,22703.0,2019,50254.0
"Zakłady uzdrowiskowe 
Health establishments",IX,78915.0,5919.0,2019,72996.0
"Pokoje gościnne 
Rooms for guests",IX,83119.0,8244.0,2019,74875.0
"Kwatery agroturystyczne 
Agrotourism lodgings",IX,13856.0,1097.0,2019,12759.0
"Pozostałe niesklasyfikowane 
Other not classified",IX,90832.0,9858.0,2019,80974.0
O G Ó Ł E M                       2018           ,X,2863790.0,628713.0,2019,2235077.0
T O T A L                            2019            ,X,2987993.0,660998.0,2019,2326995.0
"Obiekty hotelowe 
Hotels and similar establishments",X,2450532.0,596197.0,2019,1854335.0
"Hotele 
Hotels",X,2134438.0,541507.0,2019,1592931.0
"Motele  
Motels",X,19493.0,0.0,2019,19493.0
"Pensjonaty 
Boarding house",X,49335.0,0.0,2019,49335.0
"Inne obiekty hotelowe 
Other hotel establishments",X,247266.0,46576.0,2019,200690.0
"Pozostałe obiekty noclegowe
Other establishments ",X,537461.0,0.0,2019,537461.0
"Domy wycieczkowe 
Excursion hostels",X,6654.0,336.0,2019,6318.0
"Schroniska 
Shelters",X,16651.0,463.0,2019,16188.0
"Schroniska młodzieżowe 
Youth shelters",X,7123.0,1175.0,2019,5948.0
"Szkolne schroniska młodzieżowe
School youth shelters",X,24027.0,0.0,2019,24027.0
"Ośrodki wczasowe 
Holiday centres",X,96552.0,9571.0,2019,86981.0
"Ośrodki kolonijne 
Holiday youth centres",X,5628.0,12.0,2019,5616.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",X,82960.0,3048.0,2019,79912.0
"Domy pracy twórczej 
Creative arts centres",X,3152.0,188.0,2019,2964.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",X,8550.0,0.0,2019,8550.0
"Kempingi 
Camping sites",X,2897.0,961.0,2019,1936.0
"Pola biwakowe  
Tent camp sites",X,546.0,0.0,2019,546.0
